x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
-765,31,-1390,-766,-6,-1154,0,0,0,0,0,209996,
-762,-23,-1208,-766,-7,-1153,0,0,0,0,0,209996,
-754,11,-1328,-765,-7,-1152,0,0,0,0,0,209741,
-768,11,-1322,-766,-8,-1151,0,0,0,0,0,209741,
-745,31,-1404,-766,-8,-1151,0,0,0,0,0,209486,
-768,19,-1346,-766,-8,-1150,0,0,0,0,0,210251,
-771,19,-1347,-767,-8,-1149,0,0,0,0,0,209996,
-752,7,-1322,-767,-8,-1149,0,0,0,0,0,209741,
-752,27,-1384,-767,-8,-1148,0,0,0,0,0,208976,
-765,23,-1363,-766,-8,-1147,0,0,0,0,0,209486,
-751,15,-1346,-766,-8,-1147,0,0,0,0,0,209486,
-760,15,-1339,-767,-8,-1146,0,0,0,0,0,209486,
-763,23,-1363,-767,-8,-1146,0,0,0,0,0,209996,
-765,19,-1348,-767,-8,-1146,0,0,0,0,0,210251,
-757,3,-1302,-768,-9,-1145,0,0,0,0,0,209486,
-751,19,-1355,-767,-8,-1145,0,0,0,0,0,209486,
-763,11,-1320,-768,-8,-1144,0,0,0,0,0,209996,
-760,3,-1300,-768,-8,-1144,0,0,0,0,0,209486,
-757,15,-1338,-768,-9,-1144,0,0,0,0,0,209486,
-760,15,-1340,-768,-9,-1144,0,0,0,0,0,209486,
-754,19,-1354,-768,-8,-1143,0,0,0,0,0,209741,
-760,23,-1366,-767,-8,-1143,0,0,0,0,0,209996,
-760,3,-1300,-767,-8,-1143,0,0,0,0,0,209741,
-751,0,-1293,-767,-9,-1143,0,0,0,0,0,209996,
-771,15,-1336,-768,-8,-1143,0,0,0,0,0,209741,
-754,27,-1382,-768,-8,-1143,0,0,0,0,0,209741,
-763,15,-1340,-768,-9,-1143,0,0,0,0,0,209231,
-763,23,-1365,-769,-9,-1143,0,0,0,0,0,209996,
-760,23,-1364,-769,-9,-1143,0,0,0,0,0,209996,
-757,15,-1342,-769,-8,-1143,0,0,0,0,0,209996,
-754,11,-1331,-768,-8,-1143,0,0,0,0,0,209996,
-765,11,-1323,-768,-8,-1144,0,0,0,0,0,209996,
-760,7,-1310,-768,-8,-1144,0,0,0,0,0,209741,
-765,19,-1347,-769,-8,-1144,0,0,0,0,0,209741,
-763,11,-1323,-769,-8,-1144,0,0,0,0,0,209231,
-754,15,-1342,-769,-8,-1144,0,0,0,0,0,209996,
